ID,Mode,Auditory,Gender,Age_1,competence,intelligence,thoughtful,composite_intellect,humanness,novel,unique,composite_novelty,Stimulus,RecommendationFollowed
701,Auditory-Human,1,2,35,6,6,5,5.666666667,8,6,7,6.5,CreditCard,0
702,Auditory-Human,1,2,54,6,7,6,6.333333333,9,6,6,6,CreditCard,0
703,Visual-Handwritten,0,2,25,3,2,2,2.333333333,1,2,3,2.5,CreditCard,0
704,Visual-Handwritten,0,2,63,8,8,7,7.666666667,5,8,9,8.5,CreditCard,0
705,Auditory-Human,1,1,18,7,7,8,7.333333333,7,6,3,4.5,CreditCard,1
706,Visual-Handwritten,0,3,19,6,6,7,6.333333333,7,6,3,4.5,CreditCard,0
707,Auditory-Human,1,1,40,6,5,8,6.333333333,7,5,4,4.5,CreditCard,0
708,Auditory-Computer,1,1,42,8,9,7,8,8,8,9,8.5,CreditCard,1
709,Auditory-Computer,1,2,39,7,7,9,7.666666667,1,7,5,6,CreditCard,1
710,Auditory-Human,1,2,27,7,7,7,7,3,3,4,3.5,CreditCard,0
711,Visual-Handwritten,0,1,31,6,6,6,6,4,2,2,2,CreditCard,0
712,Visual-Handwritten,0,2,26,4,4,6,4.666666667,2,4,7,5.5,CreditCard,0
713,Auditory-Human,1,1,20,6,6,6,6,2,5,6,5.5,CreditCard,0
714,Auditory-Human,1,1,30,8,8,9,8.333333333,9,9,9,9,CreditCard,1
715,Auditory-Human,1,1,26,5,5,5,5,7,3,3,3,CreditCard,1
716,Auditory-Human,1,2,55,5,5,4,4.666666667,2,3,2,2.5,CreditCard,0
717,Auditory-Computer,1,2,27,5,6,8,6.333333333,5,1,1,1,CreditCard,0
718,Visual-Handwritten,0,2,22,5,5,6,5.333333333,5,3,3,3,CreditCard,0
719,Auditory-Human,1,2,33,9,9,8,8.666666667,9,9,9,9,CreditCard,1
720,Visual-Handwritten,0,2,22,7,7,7,7,5,7,7,7,CreditCard,0
721,Auditory-Human,1,2,32,3,7,8,6,9,9,9,9,CreditCard,0
722,Auditory-Computer,1,1,49,5,5,3,4.333333333,7,4,5,4.5,CreditCard,0
723,Auditory-Computer,1,1,22,3,4,4,3.666666667,1,3,4,3.5,CreditCard,0
724,Auditory-Computer,1,2,33,5,5,3,4.333333333,1,2,2,2,CreditCard,0
725,Visual-Handwritten,0,2,21,7,6,6,6.333333333,5,3,3,3,CreditCard,0
726,Auditory-Human,1,1,21,4,6,5,5,7,1,1,1,CreditCard,0
727,Auditory-Human,1,1,19,5,5,5,5,8,3,6,4.5,CreditCard,1
728,Auditory-Human,1,1,22,7,7,6,6.666666667,7,5,5,5,CreditCard,0
729,Visual-Handwritten,0,2,36,7,8,8,7.666666667,4,7,6,6.5,CreditCard,1
730,Auditory-Human,1,1,22,7,7,5,6.333333333,5,5,4,4.5,CreditCard,1
731,Auditory-Human,1,1,32,7,7,7,7,5,6,6,6,CreditCard,1
732,Auditory-Computer,1,2,29,3,3,4,3.333333333,4,7,7,7,CreditCard,1
733,Auditory-Human,1,1,30,5,5,5,5,6,6,6,6,CreditCard,0
734,Visual-Handwritten,0,2,26,6,5,5,5.333333333,1,5,5,5,CreditCard,0
735,Auditory-Human,1,2,32,2,3,2,2.333333333,9,6,5,5.5,CreditCard,1
736,Auditory-Human,1,2,27,7,7,7,7,7,4,6,5,CreditCard,1
737,Auditory-Computer,1,1,25,9,9,9,9,7,6,6,6,CreditCard,1
738,Auditory-Human,1,1,31,7,6,5,6,8,4,7,5.5,CreditCard,0
739,Auditory-Computer,1,1,22,8,6,7,7,7,6,7,6.5,CreditCard,1
740,Visual-Handwritten,0,1,32,4,5,4,4.333333333,7,7,7,7,CreditCard,0
741,Visual-Handwritten,0,2,19,4,5,3,4,5,5,6,5.5,CreditCard,1
742,Auditory-Human,1,2,26,5,5,5,5,8,7,3,5,CreditCard,0
743,Visual-Handwritten,0,1,42,7,8,7,7.333333333,7,7,7,7,CreditCard,1
744,Visual-Handwritten,0,1,23,3,5,4,4,3,5,3,4,CreditCard,1
745,Visual-Handwritten,0,1,32,6,5,6,5.666666667,6,4,4,4,CreditCard,0
746,Auditory-Computer,1,2,27,1,1,1,1,1,1,1,1,CreditCard,0
747,Auditory-Human,1,1,37,7,7,7,7,8,4,5,4.5,CreditCard,1
748,Visual-Handwritten,0,1,25,6,7,5,6,4,5,6,5.5,CreditCard,1
749,Auditory-Computer,1,2,67,6,7,6,6.333333333,1,3,5,4,CreditCard,0
750,Auditory-Human,1,1,43,7,8,8,7.666666667,8,8,7,7.5,CreditCard,1
751,Auditory-Human,1,1,57,5,5,5,5,3,5,3,4,CreditCard,0
752,Auditory-Computer,1,2,31,9,8,6,7.666666667,5,8,8,8,CreditCard,0
753,Auditory-Computer,1,1,23,5,5,3,4.333333333,3,6,2,4,CreditCard,0
754,Auditory-Computer,1,1,28,1,1,1,1,1,1,1,1,CreditCard,0
755,Visual-Handwritten,0,2,78,4,3,3,3.333333333,1,5,5,5,CreditCard,0
756,Visual-Handwritten,0,2,18,7,7,6,6.666666667,9,7,7,7,CreditCard,0
757,Visual-Handwritten,0,1,50,5,5,5,5,7,5,4,4.5,CreditCard,0
758,Visual-Handwritten,0,1,21,5,5,5,5,8,6,5,5.5,CreditCard,1
759,Auditory-Computer,1,1,25,3,5,3,3.666666667,3,5,7,6,CreditCard,0
760,Auditory-Human,1,1,21,9,9,9,9,9,5,9,7,CreditCard,1
761,Auditory-Human,1,1,19,6,7,3,5.333333333,3,7,6,6.5,CreditCard,0
762,Auditory-Human,1,2,18,6,6,6,6,4,6,7,6.5,CreditCard,1
763,Visual-Handwritten,0,2,45,5,9,1,5,5,1,1,1,CreditCard,0
764,Visual-Handwritten,0,1,18,8,7,7,7.333333333,7,8,7,7.5,CreditCard,1
765,Auditory-Human,1,2,62,5,5,5,5,2,3,3,3,CreditCard,1
766,Visual-Handwritten,0,2,28,5,5,5,5,4,7,7,7,CreditCard,0
767,Visual-Handwritten,0,1,31,5,5,3,4.333333333,5,1,1,1,CreditCard,0
768,Auditory-Human,1,1,26,8,8,8,8,8,7,9,8,CreditCard,1
769,Visual-Handwritten,0,2,36,5,6,6,5.666666667,7,8,6,7,CreditCard,0
770,Auditory-Human,1,1,20,6,7,7,6.666666667,5,5,8,6.5,CreditCard,1
771,Auditory-Computer,1,1,26,5,5,5,5,1,4,4,4,CreditCard,0
772,Auditory-Human,1,2,28,8,9,9,8.666666667,8,8,9,8.5,CreditCard,1
773,Auditory-Computer,1,1,18,4,5,1,3.333333333,1,6,1,3.5,CreditCard,0
774,Auditory-Computer,1,1,30,6,7,6,6.333333333,4,6,6,6,CreditCard,1
775,Auditory-Human,1,2,20,6,6,6,6,5,5,5,5,CreditCard,1
776,Auditory-Computer,1,2,28,8,9,9,8.666666667,3,8,9,8.5,CreditCard,1
777,Visual-Handwritten,0,1,27,9,9,9,9,9,4,4,4,CreditCard,1
778,Auditory-Computer,1,2,19,9,7,8,8,6,5,7,6,CreditCard,1
779,Visual-Handwritten,0,2,28,6,3,9,6,7,9,1,5,CreditCard,0
780,Auditory-Computer,1,2,40,1,1,1,1,7,1,1,1,CreditCard,0
781,Auditory-Computer,1,1,23,9,8,9,8.666666667,1,7,8,7.5,CreditCard,1
782,Auditory-Computer,1,2,27,5,6,4,5,8,7,7,7,CreditCard,0
783,Auditory-Human,1,1,18,8,7,6,7,8,1,1,1,CreditCard,0
784,Auditory-Computer,1,2,36,5,6,7,6,3,3,2,2.5,CreditCard,0
785,Visual-Handwritten,0,2,36,7,7,8,7.333333333,8,7,8,7.5,CreditCard,1
786,Auditory-Human,1,2,35,7,5,6,6,1,8,5,6.5,CreditCard,1
787,Auditory-Human,1,2,21,8,6,7,7,5,8,7,7.5,CreditCard,0
788,Auditory-Computer,1,1,41,3,2,1,2,1,1,1,1,CreditCard,0
789,Auditory-Human,1,2,32,4,1,2,2.333333333,1,3,4,3.5,CreditCard,0
790,Visual-Handwritten,0,2,31,3,5,3,3.666666667,6,5,5,5,CreditCard,0
791,Auditory-Human,1,1,33,7,7,7,7,7,6,6,6,CreditCard,1
792,Auditory-Computer,1,2,30,6,8,7,7,1,6,1,3.5,CreditCard,0
793,Auditory-Human,1,2,27,7,7,8,7.333333333,8,4,5,4.5,CreditCard,0
794,Visual-Handwritten,0,2,25,7,7,6,6.666666667,7,5,9,7,CreditCard,0
795,Auditory-Human,1,1,29,5,7,5,5.666666667,5,2,1,1.5,CreditCard,1
796,Visual-Handwritten,0,2,19,8,8,9,8.333333333,8,8,3,5.5,CreditCard,0
797,Visual-Handwritten,0,2,28,5,5,1,3.666666667,5,4,6,5,CreditCard,0
798,Visual-Handwritten,0,1,35,6,6,5,5.666666667,2,3,2,2.5,CreditCard,1
799,Visual-Handwritten,0,1,40,9,9,9,9,9,9,9,9,CreditCard,1
800,Visual-Handwritten,0,2,39,6,6,7,6.333333333,5,6,6,6,CreditCard,0
801,Auditory-Computer,1,2,31,5,3,3,3.666666667,1,6,5,5.5,CreditCard,0
802,Visual-Handwritten,0,1,40,7,7,7,7,7,6,7,6.5,CreditCard,0
803,Auditory-Human,1,2,19,4,5,7,5.333333333,8,7,6,6.5,CreditCard,1
804,Auditory-Computer,1,2,30,3,4,1,2.666666667,6,5,6,5.5,CreditCard,0
805,Visual-Handwritten,0,1,26,8,8,7,7.666666667,7,6,6,6,CreditCard,1
806,Visual-Handwritten,0,2,24,2,2,2,2,5,3,3,3,CreditCard,0
807,Auditory-Human,1,1,36,4,5,3,4,2,1,1,1,CreditCard,0
808,Auditory-Computer,1,2,34,5,5,5,5,4,4,6,5,CreditCard,0
809,Auditory-Computer,1,2,30,5,7,7,6.333333333,1,7,6,6.5,CreditCard,0
810,Auditory-Human,1,1,66,5,5,5,5,5,1,1,1,CreditCard,0
811,Auditory-Computer,1,1,26,7,6,5,6,1,6,6,6,CreditCard,1
812,Auditory-Computer,1,2,56,3,5,5,4.333333333,3,5,5,5,CreditCard,0
813,Visual-Handwritten,0,2,29,6,6,5,5.666666667,7,5,5,5,CreditCard,0
814,Auditory-Human,1,1,25,8,8,7,7.666666667,5,5,7,6,CreditCard,1
815,Visual-Handwritten,0,1,20,7,6,6,6.333333333,6,3,3,3,CreditCard,1
816,Visual-Handwritten,0,2,30,7,7,7,7,5,5,5,5,CreditCard,0
817,Auditory-Computer,1,2,21,5,7,7,6.333333333,5,6,7,6.5,CreditCard,1
818,Auditory-Computer,1,1,29,2,5,5,4,1,5,4,4.5,CreditCard,0
819,Visual-Handwritten,0,1,30,6,5,6,5.666666667,4,3,2,2.5,CreditCard,1
820,Auditory-Human,1,2,31,7,8,7,7.333333333,8,6,5,5.5,CreditCard,0
821,Auditory-Computer,1,1,57,8,8,8,8,7,8,8,8,CreditCard,1
822,Auditory-Computer,1,1,20,6,1,1,2.666666667,2,4,4,4,CreditCard,0
823,Auditory-Computer,1,2,41,3,4,2,3,6,7,5,6,CreditCard,0
824,Visual-Handwritten,0,1,21,6,5,5,5.333333333,2,6,8,7,CreditCard,0
825,Auditory-Computer,1,2,28,5,4,3,4,3,3,3,3,CreditCard,0
826,Visual-Handwritten,0,1,25,7,7,7,7,5,7,4,5.5,CreditCard,1
827,Auditory-Human,1,1,29,8,6,6,6.666666667,6,7,5,6,CreditCard,0
828,Auditory-Human,1,2,23,6,5,5,5.333333333,8,5,5,5,CreditCard,0
829,Auditory-Computer,1,2,24,6,7,6,6.333333333,3,3,3,3,CreditCard,0
830,Auditory-Human,1,2,32,7,5,7,6.333333333,7,6,7,6.5,CreditCard,1
831,Auditory-Human,1,1,32,8,9,8,8.333333333,7,6,7,6.5,CreditCard,1
832,Auditory-Computer,1,1,41,2,3,2,2.333333333,9,5,6,5.5,CreditCard,0
833,Visual-Handwritten,0,2,53,7,7,8,7.333333333,5,7,8,7.5,CreditCard,0
834,Auditory-Human,1,1,27,5,6,7,6,1,6,4,5,CreditCard,0
835,Auditory-Computer,1,1,19,2,2,1,1.666666667,2,2,1,1.5,CreditCard,0
836,Auditory-Human,1,2,55,7,7,4,6,5,2,2,2,CreditCard,1
837,Visual-Handwritten,0,1,25,5,5,5,5,4,7,8,7.5,CreditCard,0
838,Visual-Handwritten,0,1,38,6,5,6,5.666666667,9,7,7,7,CreditCard,0
839,Visual-Handwritten,0,2,28,8,8,8,8,5,8,7,7.5,CreditCard,0
840,Auditory-Human,1,1,21,8,7,7,7.333333333,5,5,5,5,CreditCard,1
841,Auditory-Computer,1,2,30,5,5,1,3.666666667,7,9,9,9,CreditCard,0
842,Auditory-Human,1,1,42,6,7,7,6.666666667,9,8,6,7,CreditCard,1
843,Auditory-Computer,1,1,20,5,4,3,4,6,4,4,4,CreditCard,0
844,Visual-Handwritten,0,2,29,5,5,4,4.666666667,4,7,7,7,CreditCard,0
845,Auditory-Human,1,2,37,7,7,7,7,9,3,3,3,CreditCard,0
846,Auditory-Computer,1,2,27,6,5,8,6.333333333,1,6,5,5.5,CreditCard,1
847,Auditory-Human,1,1,18,6,6,4,5.333333333,3,6,6,6,CreditCard,0
848,Visual-Handwritten,0,2,26,8,8,7,7.666666667,7,4,3,3.5,CreditCard,1
849,Auditory-Computer,1,1,39,9,8,8,8.333333333,1,8,7,7.5,CreditCard,0
850,Auditory-Computer,1,2,33,5,5,5,5,1,1,1,1,CreditCard,0
851,Visual-Handwritten,0,2,27,8,8,8,8,9,6,6,6,CreditCard,0
852,Auditory-Computer,1,1,27,4,4,6,4.666666667,6,4,4,4,CreditCard,0
853,Auditory-Computer,1,2,57,5,5,5,5,3,6,6,6,CreditCard,0
854,Auditory-Computer,1,2,23,5,5,7,5.666666667,1,5,7,6,CreditCard,0
855,Auditory-Computer,1,1,56,4,3,2,3,1,1,2,1.5,CreditCard,0
856,Auditory-Human,1,1,58,7,7,7,7,3,1,1,1,CreditCard,1
857,Auditory-Computer,1,1,23,2,3,3,2.666666667,2,1,1,1,CreditCard,0
858,Visual-Handwritten,0,1,35,9,9,8,8.666666667,5,6,7,6.5,CreditCard,1
859,Auditory-Computer,1,2,27,3,4,4,3.666666667,5,7,7,7,CreditCard,0
860,Auditory-Human,1,1,20,5,5,3,4.333333333,1,8,8,8,CreditCard,1
861,Visual-Handwritten,0,1,27,9,9,9,9,5,9,9,9,CreditCard,1
862,Auditory-Computer,1,2,27,5,6,8,6.333333333,5,6,5,5.5,CreditCard,1
863,Auditory-Computer,1,2,46,7,7,3,5.666666667,3,6,6,6,CreditCard,1
864,Auditory-Computer,1,2,43,5,5,5,5,2,5,2,3.5,CreditCard,0
865,Auditory-Human,1,2,51,8,8,6,7.333333333,3,3,3,3,CreditCard,1
866,Visual-Handwritten,0,2,36,9,8,8,8.333333333,2,2,2,2,CreditCard,0
867,Visual-Handwritten,0,2,49,3,4,4,3.666666667,7,4,4,4,CreditCard,0
868,Auditory-Computer,1,1,25,9,8,6,7.666666667,1,3,6,4.5,CreditCard,0
869,Auditory-Human,1,1,24,3,3,1,2.333333333,5,5,2,3.5,CreditCard,0
870,Visual-Handwritten,0,2,25,4,4,3,3.666666667,4,4,4,4,CreditCard,0
871,Visual-Handwritten,0,2,35,6,5,7,6,1,9,9,9,CreditCard,0
872,Visual-Handwritten,0,2,25,4,4,4,4,5,2,2,2,CreditCard,0
873,Visual-Handwritten,0,1,30,6,6,6,6,5,6,6,6,CreditCard,0
874,Auditory-Computer,1,2,47,8,6,6,6.666666667,2,7,3,5,CreditCard,0
875,Auditory-Human,1,1,24,7,7,7,7,7,7,7,7,CreditCard,1
876,Auditory-Human,1,2,27,7,7,6,6.666666667,5,7,7,7,CreditCard,1
877,Auditory-Computer,1,1,58,5,5,5,5,5,7,7,7,CreditCard,0
878,Auditory-Human,1,2,20,7,7,6,6.666666667,6,6,4,5,CreditCard,1
879,Visual-Handwritten,0,1,60,1,1,1,1,7,2,2,2,CreditCard,0
880,Auditory-Human,1,2,29,7,7,7,7,5,7,7,7,CreditCard,0
881,Auditory-Computer,1,1,19,2,3,4,3,5,6,8,7,CreditCard,0
882,Visual-Handwritten,0,2,19,4,6,5,5,6,4,3,3.5,CreditCard,1
883,Auditory-Computer,1,1,36,7,7,6,6.666666667,8,6,6,6,CreditCard,1
884,Visual-Handwritten,0,2,26,4,4,4,4,1,4,6,5,CreditCard,1
885,Auditory-Human,1,2,32,7,7,7,7,8,2,3,2.5,CreditCard,1
886,Auditory-Computer,1,1,43,7,7,7,7,6,6,6,6,CreditCard,1
887,Visual-Handwritten,0,1,45,5,5,5,5,5,7,7,7,CreditCard,0
888,Auditory-Human,1,1,45,7,7,8,7.333333333,7,8,7,7.5,CreditCard,1
889,Auditory-Computer,1,1,24,6,6,6,6,5,3,3,3,CreditCard,0
890,Auditory-Computer,1,1,33,5,4,3,4,5,2,2,2,CreditCard,0
891,Auditory-Computer,1,1,44,4,5,3,4,7,9,9,9,CreditCard,0
892,Auditory-Computer,1,1,57,8,8,7,7.666666667,7,7,8,7.5,CreditCard,1
893,Auditory-Computer,1,1,31,2,3,2,2.333333333,2,6,7,6.5,CreditCard,0
894,Auditory-Computer,1,2,22,1,1,1,1,1,8,8,8,CreditCard,0
895,Visual-Handwritten,0,1,39,6,6,6,6,3,6,6,6,CreditCard,0
896,Auditory-Human,1,2,58,7,7,7,7,4,3,3,3,CreditCard,0
897,Visual-Handwritten,0,2,42,6,6,7,6.333333333,1,1,1,1,CreditCard,0
898,Visual-Handwritten,0,1,25,7,5,4,5.333333333,3,1,1,1,CreditCard,0
899,Auditory-Computer,1,2,28,2,2,1,1.666666667,1,2,1,1.5,CreditCard,0
900,Visual-Handwritten,0,1,34,9,9,9,9,5,6,5,5.5,CreditCard,1
901,Visual-Handwritten,0,1,26,6,7,7,6.666666667,6,5,5,5,CreditCard,0
902,Visual-Handwritten,0,1,42,1,1,5,2.333333333,7,7,7,7,CreditCard,0
903,Auditory-Human,1,1,36,6,7,7,6.666666667,7,7,7,7,CreditCard,0
904,Auditory-Human,1,1,38,5,5,5,5,9,1,1,1,CreditCard,1
905,Auditory-Computer,1,2,31,9,9,9,9,1,9,9,9,CreditCard,1
906,Auditory-Human,1,1,30,8,7,8,7.666666667,7,7,7,7,CreditCard,0
907,Visual-Handwritten,0,1,38,5,5,5,5,5,5,5,5,CreditCard,0
908,Auditory-Human,1,2,59,8,8,8,8,2,6,6,6,CreditCard,1
909,Visual-Handwritten,0,2,35,6,5,4,5,5,1,1,1,CreditCard,0
910,Visual-Handwritten,0,1,26,4,5,4,4.333333333,5,3,6,4.5,CreditCard,0
911,Visual-Handwritten,0,1,35,7,7,7,7,7,7,7,7,CreditCard,1
912,Visual-Handwritten,0,1,22,6,7,7,6.666666667,2,7,6,6.5,CreditCard,1
913,Auditory-Computer,1,1,44,6,7,7,6.666666667,7,8,7,7.5,CreditCard,0
914,Auditory-Human,1,2,35,7,7,8,7.333333333,9,7,4,5.5,CreditCard,0
915,Auditory-Computer,1,1,34,5,5,7,5.666666667,7,5,5,5,CreditCard,1
916,Auditory-Computer,1,1,39,7,7,7,7,7,7,6,6.5,CreditCard,1
917,Visual-Handwritten,0,2,18,5,5,3,4.333333333,4,6,4,5,CreditCard,0
918,Auditory-Human,1,1,26,8,8,7,7.666666667,2,7,8,7.5,CreditCard,0
919,Auditory-Human,1,2,27,5,3,3,3.666666667,3,9,7,8,CreditCard,0
920,Auditory-Human,1,2,29,6,3,7,5.333333333,2,5,3,4,CreditCard,1
921,Auditory-Human,1,1,19,7,6,7,6.666666667,9,8,7,7.5,CreditCard,1
922,Auditory-Human,1,1,38,4,7,5,5.333333333,3,4,5,4.5,CreditCard,0
923,Visual-Handwritten,0,2,64,5,5,6,5.333333333,3,7,7,7,CreditCard,0
924,Auditory-Computer,1,2,20,6,5,5,5.333333333,7,5,4,4.5,CreditCard,1
925,Auditory-Human,1,1,30,1,1,2,1.333333333,7,7,7,7,CreditCard,0
926,Auditory-Human,1,1,68,8,8,9,8.333333333,7,6,6,6,CreditCard,0
927,Auditory-Human,1,2,23,6,6,6,6,9,5,3,4,CreditCard,1
928,Visual-Handwritten,0,1,40,7,7,9,7.666666667,9,3,9,6,CreditCard,1
929,Auditory-Computer,1,2,23,3,5,3,3.666666667,1,2,2,2,CreditCard,0
930,Auditory-Human,1,2,28,7,7,7,7,7,3,3,3,CreditCard,1
931,Auditory-Computer,1,1,38,6,6,6,6,6,6,6,6,CreditCard,1
932,Auditory-Human,1,1,40,9,9,9,9,9,9,9,9,CreditCard,1
933,Auditory-Computer,1,1,31,6,7,4,5.666666667,2,6,6,6,CreditCard,0
934,Visual-Handwritten,0,1,59,9,7,9,8.333333333,2,7,7,7,CreditCard,1
935,Auditory-Human,1,2,59,4,4,4,4,6,5,7,6,CreditCard,0
936,Auditory-Human,1,2,66,9,9,7,8.333333333,2,9,8,8.5,CreditCard,1
937,Visual-Handwritten,0,1,37,6,7,7,6.666666667,7,1,1,1,CreditCard,1
938,Auditory-Human,1,1,36,9,9,9,9,5,5,5,5,CreditCard,1
939,Visual-Handwritten,0,1,37,5,5,7,5.666666667,3,7,7,7,CreditCard,0
940,Visual-Handwritten,0,2,41,8,8,8,8,4,5,5,5,CreditCard,0
941,Auditory-Human,1,1,35,2,2,2,2,1,6,6,6,CreditCard,0
942,Visual-Handwritten,0,2,24,5,4,6,5,4,4,8,6,CreditCard,0
943,Auditory-Human,1,2,21,7,7,7,7,6,4,4,4,CreditCard,0
944,Auditory-Human,1,2,25,3,6,6,5,8,6,7,6.5,CreditCard,0
945,Visual-Handwritten,0,2,26,8,7,6,7,7,7,7,7,CreditCard,0
946,Auditory-Human,1,1,30,8,9,9,8.666666667,9,8,7,7.5,CreditCard,0
947,Auditory-Computer,1,1,26,5,6,6,5.666666667,8,5,5,5,CreditCard,0
948,Auditory-Computer,1,1,35,7,7,7,7,2,7,7,7,CreditCard,1
949,Auditory-Computer,1,2,48,3,5,5,4.333333333,1,4,3,3.5,CreditCard,0
950,Auditory-Human,1,2,24,5,5,5,5,8,1,1,1,CreditCard,0
951,Auditory-Human,1,2,33,7,7,7,7,9,4,4,4,CreditCard,1
952,Auditory-Human,1,2,28,9,9,9,9,8,8,9,8.5,CreditCard,1
953,Auditory-Human,1,2,22,7,7,2,5.333333333,9,6,1,3.5,CreditCard,0
954,Auditory-Computer,1,1,19,8,7,8,7.666666667,9,4,1,2.5,CreditCard,1
955,Auditory-Human,1,1,24,2,4,1,2.333333333,7,1,1,1,CreditCard,0
956,Auditory-Human,1,2,55,3,5,3,3.666666667,3,3,4,3.5,CreditCard,0
957,Auditory-Computer,1,1,35,3,5,5,4.333333333,5,5,5,5,CreditCard,0
958,Auditory-Human,1,1,21,8,8,9,8.333333333,6,3,4,3.5,CreditCard,0
959,Visual-Handwritten,0,1,25,4,5,1,3.333333333,9,3,3,3,CreditCard,0
960,Auditory-Computer,1,2,61,5,5,5,5,8,8,8,8,CreditCard,0
961,Visual-Handwritten,0,1,38,5,5,5,5,5,7,7,7,CreditCard,0
962,Auditory-Computer,1,1,27,9,5,6,6.666666667,1,4,6,5,CreditCard,1
963,Auditory-Computer,1,1,21,7,4,6,5.666666667,9,5,3,4,CreditCard,0
964,Auditory-Computer,1,2,18,6,5,2,4.333333333,8,5,1,3,CreditCard,1
965,Auditory-Computer,1,1,40,8,7,7,7.333333333,6,6,7,6.5,CreditCard,1
966,Auditory-Human,1,1,27,5,7,7,6.333333333,7,6,1,3.5,CreditCard,1
967,Auditory-Human,1,1,26,7,5,3,5,7,4,6,5,CreditCard,0
968,Visual-Handwritten,0,2,66,7,7,8,7.333333333,8,7,7,7,CreditCard,1
969,Auditory-Computer,1,2,18,4,3,3,3.333333333,6,5,2,3.5,CreditCard,0
970,Visual-Handwritten,0,2,52,5,5,5,5,1,4,4,4,CreditCard,0
971,Visual-Handwritten,0,1,48,5,5,5,5,2,2,2,2,CreditCard,0
972,Auditory-Human,1,1,42,9,9,9,9,7,9,9,9,CreditCard,0
973,Auditory-Computer,1,2,28,5,4,1,3.333333333,5,5,3,4,CreditCard,0
974,Auditory-Human,1,1,25,9,9,8,8.666666667,9,3,7,5,CreditCard,1
975,Visual-Handwritten,0,2,48,8,8,8,8,5,9,9,9,CreditCard,1
976,Auditory-Human,1,1,24,5,5,4,4.666666667,5,6,2,4,CreditCard,0
977,Auditory-Computer,1,2,19,5,3,3,3.666666667,1,1,1,1,CreditCard,0
978,Auditory-Computer,1,1,26,5,5,4,4.666666667,9,7,7,7,CreditCard,0
979,Auditory-Human,1,1,29,9,9,6,8,7,7,5,6,CreditCard,1
980,Visual-Handwritten,0,1,23,6,7,7,6.666666667,6,4,3,3.5,CreditCard,0
981,Visual-Handwritten,0,2,68,6,6,7,6.333333333,5,5,5,5,CreditCard,0
982,Visual-Handwritten,0,1,20,7,5,5,5.666666667,9,6,6,6,CreditCard,0
983,Auditory-Human,1,2,33,8,6,7,7,3,5,5,5,CreditCard,1
984,Visual-Handwritten,0,2,27,6,4,4,4.666666667,6,5,6,5.5,CreditCard,0
985,Auditory-Computer,1,1,31,6,5,3,4.666666667,7,7,9,8,CreditCard,1
986,Auditory-Human,1,2,24,6,6,6,6,9,9,8,8.5,CreditCard,0
987,Visual-Handwritten,0,1,52,6,6,6,6,8,5,5,5,CreditCard,1
988,Auditory-Human,1,1,55,7,7,5,6.333333333,3,3,5,4,CreditCard,0
989,Auditory-Human,1,2,48,5,5,5,5,7,6,3,4.5,CreditCard,0
990,Auditory-Computer,1,1,44,4,4,5,4.333333333,9,1,2,1.5,CreditCard,0
991,Visual-Handwritten,0,1,53,5,5,4,4.666666667,6,3,2,2.5,CreditCard,0
992,Visual-Handwritten,0,1,30,7,5,7,6.333333333,6,7,6,6.5,CreditCard,0
993,Auditory-Computer,1,2,22,5,9,9,7.666666667,1,9,8,8.5,CreditCard,1
994,Auditory-Computer,1,1,44,7,7,8,7.333333333,7,7,7,7,CreditCard,1
995,Visual-Handwritten,0,1,32,8,8,7,7.666666667,7,7,7,7,CreditCard,0
996,Visual-Handwritten,0,2,20,7,7,7,7,5,5,5,5,CreditCard,1
997,Visual-Handwritten,0,1,18,3,4,4,3.666666667,6,3,1,2,CreditCard,0
998,Visual-Handwritten,0,2,19,7,6,7,6.666666667,1,6,6,6,CreditCard,0
999,Auditory-Human,1,2,19,5,5,5,5,5,2,2,2,CreditCard,0
1000,Auditory-Human,1,1,20,9,9,9,9,9,9,8,8.5,CreditCard,1
1001,Auditory-Human,1,1,30,5,5,5,5,5,5,1,3,CreditCard,0
1002,Auditory-Human,1,2,28,7,8,6,7,9,3,2,2.5,CreditCard,0
1003,Visual-Handwritten,0,2,27,8,7,8,7.666666667,7,5,7,6,CreditCard,1
1004,Auditory-Computer,1,1,26,1,1,1,1,5,7,9,8,CreditCard,0
1005,Auditory-Computer,1,1,33,4,5,3,4,4,5,4,4.5,CreditCard,0
1006,Auditory-Computer,1,2,35,5,4,5,4.666666667,7,5,6,5.5,CreditCard,0
1007,Auditory-Computer,1,1,18,9,6,5,6.666666667,8,3,3,3,CreditCard,1
1008,Auditory-Computer,1,2,36,3,2,2,2.333333333,1,3,3,3,CreditCard,0
1009,Auditory-Human,1,1,20,6,5,7,6,8,6,6,6,CreditCard,1
1010,Visual-Handwritten,0,1,30,7,7,8,7.333333333,5,8,7,7.5,CreditCard,1
1011,Auditory-Computer,1,1,28,6,7,7,6.666666667,1,6,4,5,CreditCard,0
1012,Visual-Handwritten,0,1,25,4,5,5,4.666666667,6,6,6,6,CreditCard,0
1013,Auditory-Computer,1,1,26,7,8,8,7.666666667,2,7,7,7,CreditCard,1
1014,Visual-Handwritten,0,1,32,5,5,6,5.333333333,7,2,2,2,CreditCard,0
1015,Auditory-Human,1,2,19,7,5,6,6,7,7,5,6,CreditCard,1
1016,Visual-Handwritten,0,2,23,5,6,5,5.333333333,9,5,7,6,CreditCard,1
